text,text_english,likes,comments,shares,engagement_label,url
"ඇඹිලිපිටියට ගියපු අපේ චූටි order එක 😍😍

📩 ඔබගේ ඇණවුම දැන්ම අප වෙත ලබා දෙන්න.

🚚 Island Wide Delivery Available 
🏛️ Bank Deposit Only 
📩 Inbox For More Details 
📞 Whatsapp - 076-7806132 

✨🌸✨ GLITZ BEAUTY ✨🌸✨

#glitzbeauty
#koreanskincare
#facesheetmask
#skincarelover
#glowingskin
#beautycare
#skincareproducts
#selfcare
#kbeauty
#skinroutine
#beautytips
#freshskin
#naturalglow
#hydratedskin
#beautypage
#skincareaddict
#glowup
#beautysecret
#skinlove
#beautyshop
#aloemask
#collagenmask
#snailmask
#pomegranatemask
#avocadomask
#beautysrilanka
#skincarelanka
#onlineshopsl
#beautyproducts","Our small order that went to Embilipitiya 😍😍

📩 Place your order now.

🚚 Island Wide Delivery Available
🏛️ Bank Deposit Only
📩 Inbox for more details
📞 Whatsapp - 076-7806132

✨🌸✨ GLITZ BEAUTY ✨🌸✨

#glitzbeauty
#koreanskincare
#facesheetmask
#skincarelover
#glowingskin
#beautycare
#skincareproducts
#selfcare
#kbeauty
#skinroutine
#beautytips
#freshskin
#naturalglow
#hydratedskin
#beautypage
#skincareaddict
#glowup
#beautysecret
#skinlove
#beautyshop
#aloemask
#collagenmask
#snailmask
#pomegranatemask
#avocadomask
#beautysrilanka
#skincarelanka
#onlineshopsl
#beautyproducts",14.0,26.0,79.0,high,https://www.facebook.com/reel/2451608171948609/
"✨Face care routine එකට best choice එක ✨
Original Korean Face Sheet Mask 🇰🇷😍

📩 ඔබගේ ඇණවුම දැන්ම අප වෙත ලබා දෙන්න.

🚚 Island Wide Delivery Available 
🏛️ Bank Deposit Only 
📩 Inbox For More Details 
📞 Whatsapp - 076-7806132 

✨🌸✨ GLITZ BEAUTY ✨🌸✨

#glitzbeauty
#koreanskincare
#facesheetmask
#skincarelover
#glowingskin
#beautycare
#skincareproducts
#selfcare
#kbeauty
#skinroutine
#beautytips
#freshskin
#naturalglow
#hydratedskin
#beautypage
#skincareaddict
#glowup
#beautysecret
#skinlove
#beautyshop
#aloemask
#collagenmask
#snailmask
#pomegranatemask
#avocadomask
#beautysrilanka
#skincarelanka
#onlineshopsl
#beautyproducts","✨The best choice for face care routine ✨
Original Korean Face Sheet Mask 🇰🇷😍

📩 Place your order now.

🚚 Island Wide Delivery Available
🏛️ Bank Deposit Only
📩 Inbox for more details
📞 Whatsapp - 076-7806132

✨🌸✨ GLITZ BEAUTY ✨🌸✨

#glitzbeauty
#koreanskincare
#facesheetmask
#skincarelover
#glowingskin
#beautycare
#skincareproducts
#selfcare
#kbeauty
#skinroutine
#beautytips
#freshskin
#naturalglow
#hydratedskin
#beautypage
#skincareaddict
#glowup
#beautysecret
#skinlove
#beautyshop
#aloemask
#collagenmask
#snailmask
#pomegranatemask
#avocadomask
#beautysrilanka
#skincarelanka
#onlineshopsl
#beautyproducts",12.0,28.0,77.0,high,https://www.facebook.com/permalink.php?story_fbid=pfbid02W1bqJTEtuKkgdXCPkbj1SCy4URikUqjH8qKGMkWKPgkc7rsQ29Ui66Cfs8kAsUcil&id=61583800496622
"✨ RESTOCK ALERT! 🇰🇷💖

ඔයාලා ආසාවෙන් අහපු
🔥 Original Korean Face Sheet Masks
👉 දැන් ආයෙත් stock එකට ආවා!

💧 Hydrating
🌿 Soothing
✨ Brightening
💖 Glass skin results

ඔයාගේ skin type එකට perfect mask එක හොයාගන්න පුළුවන්!

📩 ඔබගේ ඇණවුම දැන්ම අප වෙත ලබා දෙන්න.

🚚 Island Wide Delivery Available 
🏛️ Bank Deposit Only 
📩 Inbox For More Details 
📞 Whatsapp - 076-7806132 

✨🌸✨ GLITZ BEAUTY ✨🌸✨

#glitzbeauty
#koreanskincare
#facesheetmask
#skincarelover
#glowingskin
#kbeauty
#skinroutine
#beautytips
#freshskin
#naturalglow
#beautypage
#beautysecret
#skinlove
#beautyshop
#aloemask
#collagenmask
#snailmask
#pomegranatemask
#avocadomask
#onlineorder","✨ RESTOCK ALERT!🇰🇷💖

You asked eagerly
🔥 Original Korean Face Sheet Masks
👉 Now back in stock!

💧 Hydrating
🌿 Soothing
✨ Brightening
💖 Glass skin results

You can find the perfect mask for your skin type!

📩 Place your order now.

🚚 Island Wide Delivery Available
🏛️ Bank Deposit Only
📩 Inbox for more details
📞 Whatsapp - 076-7806132

✨🌸✨ GLITZ BEAUTY ✨🌸✨

#glitzbeauty
#koreanskincare
#facesheetmask
#skincarelover
#glowingskin
#kbeauty
#skinroutine
#beautytips
#freshskin
#naturalglow
#beautypage
#beautysecret
#skinlove
#beautyshop
#aloemask
#collagenmask
#snailmask
#pomegranatemask
#avocadomask
#onlineorder",14.0,32.0,78.0,high,https://www.facebook.com/reel/3383237131842475/
"""Beyond Grateful for Your Trust! ✨❤️🌸

අපේ ගමනේ ආරම්භයේදීම අපව වැළඳගත් ඔබ සැමගේ ආදරය සහ විශ්වාසය අපි ඉතා අගය කොට සලකමු. හොඳම සේවාව සැමවිටම ඔබ වෙනුවෙන්මයි!"" 🌸🎀

#KBeauty #Grateful #CustomerLove #TrustedBrand #SriLankaSkincare #ElegantService","""Beyond Grateful for Your Trust! ✨❤️🌸

We greatly appreciate the love and trust from all of you who embraced us at the beginning of our journey.The best service is always for you!""🌸🎀

#KBeauty #Grateful #CustomerLove #TrustedBrand #SriLankaSkincare #ElegantService",9.0,5.0,29.0,high,https://www.facebook.com/permalink.php?story_fbid=pfbid02BT7kzkpPxt8zUeqAedvuqSuCazCDxNBsdPYP6Rmqfd9z9J3dGdkKz28gzRZwSdjQl&id=61576421783955
"✨ සැබවින්ම සුදු වන රහස! ✨

ඔබත් තවමත් පැහැපත් සමක් ගැන හීන දකිනවාද? එසේනම් මෙන්න ඔබට ලැබෙන හොඳම විසඳුම! 💖
ඔරිජිනල් කොරියානු නිෂ්පාදනයක් වන Medicube Collagen Jelly Cream දැන් අපෙන් ලබාගත හැක. මෙය භාවිතයෙන් ඉතා කෙටි කාලයකදී ඔබේ සම පැහැපත් කර ""Glass Skin"" පෙනුමක් ලබා දෙන බව සහතිකයි!

සමේ තරුණ බව රැකදෙන කොලජන් සාරයෙන් පිරිපුන් මෙම ක්‍රීම් එකේ ඇති විශේෂත්වය සහ එහි ඇති ගුණාංග මෙන්න:
🌟 මෙහි අඩංගු ප්‍රධාන දේ (Key Ingredients):
• Hydrolyzed Collagen: සමේ ඇදෙන සුළු බව (Elasticity) වැඩි කර, සම එල්ලා වැටීම පාලනය කරමින් සම තද (Firm) කරයි.
• Soluble Collagen: සමේ ගැඹුරටම තෙතමනය සපයා, සම වියළීම වළක්වා මෘදු බවක් ලබා දෙයි.
• Niacinamide: සමේ අඳුරු ලප, අවපැහැ ගැන්වුණු තැන් නැති කර සම සැබවින්ම සුදු කර ඒකාකාරී දීප්තිමත් බවක් ලබා දෙයි.
• Salmon PDRN: සමේ සෛල අලුත්වැඩියා කර, හානි වූ සම යථා තත්ත්වයට පත් කර නිරෝගී පෙනුමක් ලබා දෙයි.
💧 මෙයින් ඔබට ලැබෙන ප්‍රතිලාභ:
• සැබෑ පැහැපත් බව: කෙටි කාලයක් තුළ සම පැහැදිලිවම සුදු කර සමට ස්වභාවික පෙනුමක් ලබා දෙයි.
• දිනය පුරා තෙතමනය: ජෙලි ස්වභාවයෙන් යුක්ත නිසා සමට ඉක්මනින් අවශෝෂණය වී සමේ තෙතමනය දවස පුරා රඳවා තබයි.
• 100% Original විශ්වාසය: නිෂ්පාදනයේ ඇති Barcode / QR Code එක පරීක්ෂා කර (Scan & Verify) මෙය සැබෑ කොරියානු නිෂ්පාදනයක් බව ඔබටම තහවුරු කරගත හැක.
• නොමිලේ තෑග්ගක්: අපෙන් මිලදී ගන්නා සෑම Medicube නිෂ්පාදනයක් සමඟම ඔබට වටිනා Free Gift එකක් නොමිලේ හිමිවේ! 🎁

📞 ඇණවුම් කිරීමට හෝ වැඩි විස්තර සඳහා දැන්ම අපට මැසේජ් (Inbox) කරන්න.
📱 WhatsApp - 076 629 4351

K Beauty - ඔබේ සුන්දරත්වයේ එකම විශ්වාසවන්ත නාමය. ✨

#kbeauty #koreanskincare #GlassSkin #medicubekorea #glowup #LimitedTimeOffer","✨ The secret to truly whitening!✨

Are you still dreaming of fair skin?Then here is the best solution for you!💖
Medicube Collagen Jelly Cream, an original Korean product, is now available from us.This is guaranteed to brighten your skin and give you a ""Glass Skin"" look in no time!

Here are the special features of this cream, full of collagen essence that preserves the youth of the skin:
🌟 Key Ingredients:
• Hydrolyzed Collagen: Increases the elasticity of the skin, controls sagging and firms the skin.
• Soluble Collagen: Moisturizes deep into the skin, prevents skin dryness and gives softness.
• Niacinamide: Removes dark spots, discolouration and truly whitens the skin with an even glow.
• Salmon PDRN: Repairs skin cells, restores damaged skin and makes it look healthy.
💧 Benefits you get from this:
• True whitening: visibly whitens the skin in a short period of time and gives the skin a natural look.
• All Day Moisturization: Being jelly in nature, it absorbs quickly into the skin and keeps the skin moisturized throughout the day.
• 100% Original Confidence: You can check the Barcode / QR Code on the product (Scan & Verify) and confirm for yourself that this is a real Korean product.
• Free Gift: With every Medicube product purchased from us you get a valuable Free Gift!🎁

📞 Inbox us now to order or for more information.
📱 WhatsApp - 076 629 4351

K Beauty - Your only trusted name in beauty.✨

#kbeauty #koreanskincare #GlassSkin #medicubekorea #glowup #LimitedTimeOffer",7.0,4.0,30.0,high,https://www.facebook.com/permalink.php?story_fbid=pfbid02qsfAWPwSGspDWfkpdQRoFf4nRnHvzpRaorMGh7rrP1CscTYkJqdRNgQpcVZXB2val&id=61576421783955
"කොරියාවේ අහසත් මේ දවස්වල පහන් එළියෙන් බැබළෙන්නේ, උදෑසන පිබිදෙන ඔබේ සමේ තියෙන ඒ නිර්මල කාන්තිය වගේමයි... ✨

මේ සුන්දර දර්ශනය අපි ඔබ වෙත අරන් ආවේ, K-beauty තුළ තියෙන ඒ මායාවී සුන්දරත්වයට අපිත් ඒ තරමටම ආදරේ නිසයි. 
🏮🌿 ඔබේ සමටත් මෙවැනිම නිර්මල පිබිදීමක් අවශ්‍යද? සැබෑ කොරියානු රූපලාවන්‍ය සත්කාරයේ අත්දැකීම විඳගන්න අපත් සමඟ එක්වන්න.""
 K - beauty🇰🇷

#Korean #gimcheon #kbeauty #koreanlifestyle","The sky of Korea shines with the lights these days, just like the pure radiance of your skin when you wake up in the morning... ✨

We brought this beautiful scene to you because we love the magical beauty of K-beauty.
🏮🌿 Does your skin need a similar pure awakening?Join us to experience true Korean beauty care.""
K-beauty🇰🇷

#Korean #gimcheon #kbeauty #koreanlifestyle",5.0,2.0,20.0,high,https://www.facebook.com/permalink.php?story_fbid=pfbid02qeE4RU7A5wXjQMWZ8LMb2K7r688dNMv8gG4Y1TV5msJBUJ3HGX8MWqUWhMRsppqtl&id=61576421783955
"• කුනු දූවිලි වලට එරෙහිව 🥊 | Dermalady Mayu Foam Cleanser😌✅

#කුනුදූවිලිවලටඑරෙහිව #Dermalady #DermaladyMayu #FacewashSL #DeepCleanse 
#KoreanSkincareSL #DrySkinCare #SkincareRoutine #KoreaSL #LankanBeauty #reel #facebook @topfans #viralreels #SkinCareSriLanka #koreanskincare #koreanbeauty #kbeauty #beautycare","• Against rotting dust 🥊 |Dermalady Mayu Foam Cleanser

#AgainstDamage #Dermalady #DermaladyMayu #FacewashSL #DeepCleanse
#KoreanSkincareSL #DrySkinCare #SkincareRoutine #KoreaSL #LankanBeauty #reel #facebook @topfans #viralreels #SkinCareSriLanka #koreanskincare #koreanbeauty #kbeauty #beautycare",12.0,4.0,1.0,high,https://www.facebook.com/reel/945806984954434/
"""More Than 8"" Matsutake Anti-Hair Fall Shampoo 🇰🇷

🧪 THE FORMULA KOREANS TRUST:
🍄 Premium Matsutake Extract - Follicle Reboot Technology 

🧬 Root-to-Tip Repair System - මුල මැරිච්ච කොණ්ඩෙට පණ දෙනවා

🛡️ 0% Toxins: Paraben Free | Sulfate Free | Silicon Free | 100% Vegan

📊 REAL RESULTS:

▶ Day 7: Hair Fall 60% Down
▶ Day 30: Baby Hair Growth Visible 
▶ Day 90: Thick, Dense, Salon-Like Hair

✅ Only 200 Bottles First Batch - Sold Out වෙන්න කලින් ගන්න

🇰🇷 Korea to Your Doorstep | 100% Original | No Fake Zone ❌

📦 Delivery Available

💬 ""නංගි මගේ කොණ්ඩෙ ආයෙත් වැවුනා"" - Real Customer Review

📲 WhatsApp Now: +82 10-2560-3009 

Type ""HAIR SAVE""

•••

©Aura K-Beauty | Certified K-Beauty Exporter | Korea 🇰🇷🇱🇰

#KoreaLanka #SriLankansInKorea #KoreawenBadhu #HairFallSolutionKR #AntiHairFallShampoo #MoreThan8Korea #MatsutakeShampoo #KoreanHairScience #HairLossCure #KBeautyPro #ThinningHairHelp #HairRegrowthKR #VeganKoreanShampoo #ParabenFreeKorea #SulfateFreeShampoo #HealthyScalpKorea #StopHairFallNow #KoreanShampooOriginal #AnsanSriLanka #DongdaemunSriLanka #KoreaSinhala #LankansInSeoul #LankansInIncheon #LankansInDaegu #කොරියාවේලංකාවේඅය #KoreaJobsLK #E9VisaKorea #FactoryLifeKR #MigrantWorkersKR #HardWaterHairLoss #WinterHairFall .#koreanhairclinic #ScalpTreatment #hairfollicles #KoreanDirect #Oliveyoung #NoMoreBalding #hairtransformation #KoreanBeautySecrets #fypシ゚viralシ #viralpost #trendingpost #foryouシ #foryoupageシ #hairtok  #explorekorea","""More Than 8"" Matsutake Anti-Hair Fall Shampoo 🇰🇷

🧪 THE FORMULA KOREAN'S TRUST:
🍄 Premium Matsutake Extract - Follicle Reboot Technology

🧬 Root-to-Tip Repair System - Gives life to dead hair

🛡️ 0% Toxins: Paraben Free |Sulfate Free |Silicon Free |100% vegan

📊 REAL RESULTS:

▶ Day 7: Hair Fall 60% Down
▶ Day 30: Baby Hair Growth Visible
▶ Day 90: Thick, Dense, Salon-Like Hair

✅ Only 200 Bottles First Batch - Buy before sold out

🇰🇷 Korea to Your Doorstep |100% Original |No Fake Zone ❌

📦 Delivery available

💬 ""Sister, my hair grew back"" - Real Customer Review

📲 WhatsApp Now: +82 10-2560-3009

Type ""HAIR SAVE""

•••

©Aura K-Beauty |Certified K-Beauty Exporter |Korea 🇰🇷🇱🇰

#KoreaLanka #SriLankansInKorea #KoreawenBadhu #HairFallSolutionKR #AntiHairFallShampoo #MoreThan8Korea #MatsutakeShampoo #KoreanHairScience #HairLossCure #KBeautyPro #ThinningHairHelp #HairRegrowthKR #VeganKoreanShampoo #ParabenFreeKorea #SulfateFreeShampoo #HealthyScalpKorea #StopHairFallNow #KoreanShampooOriginal#AnsanSriLanka #DongdaemunSriLanka #KoreaSinhala #LankansInSeoul #LankansInIncheon #LankansInDaegu #KoreaJobsLK #E9VisaKorea #FactoryLifeKR #MigrantWorkersKR #HardWaterHairLoss #WinterHairFall .#koreanhairclinic #ScalpTreatment #hairfollicles #KoreanDirect #Oliveyoung #NoMoreBalding#hairtransformation #KoreanBeautySecrets #fypシ゚viralシ #viralpost #trendingpost #foryouシ #foryoupageシ #hairtok #explorekorea",4.0,1.0,2.0,medium,https://www.facebook.com/permalink.php?story_fbid=pfbid0Yd5PHYKN9KWxYeUZ9HGrYsegZ26dPaezaAaEkGkXD5HGD6FcqxQEQyUsAEMR2uCjl&id=61588469053416
"🚨 මේ විශේෂ අවස්තාව මගහැරගන්න එපා‼️

•කොරියන් ""Glass Skin"" Secret එක දැන් ඔයාගෙ අතට! ✨🇰🇷

•Wrap&Lab YOUNG SHOT Milky Essence

💚 70% Centella Asiatica Water - කොරියාවේ හොඳම CICA 💚

⚡ 2% Niacinamide + PDRN - පැල්ලම්, ලප, Acne Scars වලට God Level Solution ⚡

💧 Micro-Touch Milky Texture - ගෑව ගමන් මූණට උරාගන්නවා, බරක් නෑ, ඇලෙන්නෙ නෑ!

කොරියාවේ කටුක Winter එකට, Dry Heater Air එකට, Sensitive වෙන හමට මෙන්න හරියනම එක!

✅ රතු ගතිය, කැසීම, Acne Breakouts 100% Calm කරනවා
✅ හම ඇතුලෙන්ම Repair කරලා Baby Soft, Clear, Glowing Skin එකක් දෙනවා
✅ Makeup යටින් ගෑවත් Cakey වෙන්නේ නෑ - All Day Hydrated!

💯 කොරියාවෙන්ම Direct - Fake නැතුව, Original ම හොයාගන්න! 💯

📦 කොරියාව ඇතුලේ ඕනෑම තැනකට Delivery

⚡ Stock ඉවර වෙන්න කලින් අදම Order කරන්න ⚡

📲 WhatsApp: +82 10-2560-3009 

•••

©Aura K-Beauty | Your Trusted K-Beauty Partner in Korea 🇰🇷🇱🇰

#KoreaLanka #SriLankansInKorea #KoreawenBadhu #KoreanSkincareKR #CicaEssence #YoungShot #WrapAndLab #GlassSkin #Niacinamide #PDRN #CentellaAsiatica #KoreanBeauty #KBeautyKorea #SkincareKorea #KoreanProducts #AnsanSriLanka #DongdaemunSriLanka #KoreaSinhala #LankansInSeoul #LankansInKorea #KoreanSinhala #කොරියාවේලංකාවේඅය #KoreaJobsLK #E9VisaKorea #KoreanCosmetics #AcneCare #SensitiveSkin #WinterSkincare #KoreanGlow #OliveYoung #kbeautyaddic  #skincareroutine #KoreanDirect  #OriginalfromKorea #nofakes #fypviralシ #fypシ #viralpost #trendingnow #foryouシ  #foryoupageシ #explorekorea #seoulkorea #incheon @topfans #follower #Koreanessence #fyp #aurakbeauty","🚨 Don't miss this special opportunity‼️

• The Korean ""Glass Skin"" Secret is now in your hands!✨🇰🇷

•Wrap&Lab YOUNG SHOT Milky Essence

💚 70% Centella Asiatica Water - Korea's best CICA 💚

⚡ 2% Niacinamide + PDRN - God Level Solution for Spots, Spots, Acne Scars ⚡

💧 Micro-Touch Milky Texture - absorbs into the face as soon as it is applied, not heavy, not sticky!

Here is the right one for Korea's bitter winter, dry heater air, and sensitive skin!

✅ 100% Calms Redness, Itching, Acne Breakouts
✅ Repairs the skin itself and gives a baby soft, clear, glowing skin
✅ Even if you wear it under makeup, it won't be cakey - All Day Hydrated!

💯 Direct from Korea - find original without fake!💯

📦 Delivery anywhere within Korea

⚡ Order today before the stock runs out ⚡

📲 WhatsApp: +82 10-2560-3009

•••

©Aura K-Beauty |Your Trusted K-Beauty Partner in Korea 🇰🇷🇱🇰

#KoreaLanka #SriLankansInKorea #KoreawenBadhu #KoreanSkincareKR #CicaEssence #YoungShot #WrapAndLab #GlassSkin #Niacinamide #PDRN #CentellaAsiatica #KoreanBeauty #KBeautyKorea #SkincareKorea #KoreanProducts #AnsanSriLanka #DongdaemunSriLanka #KoreaSinhala #LankansInSeoul #LankansInKorea #KoreanSinhala#KoreanKoreans #KoreaJobsLK #E9VisaKorea #KoreanCosmetics #AcneCare #SensitiveSkin #WinterSkincare #KoreanGlow #OliveYoung #kbeautyaddic #skincareroutine #KoreanDirect #OriginalfromKorea #nofakes #fypviralシ #fypシ #viralpost #trendingnow #foryouシ #foryoupageシ #explorekorea #seoulkorea #incheon @topfans #follower #Koreanessence#fyp #aurakbeauty",1.0,0.0,1.0,low,https://www.facebook.com/permalink.php?story_fbid=pfbid0TEQdkY9i4XWMNrfxQVNMiDtoXgQwQ66vq43aFzgbj7uabUgBtiy7ePHMzQhkneTJl&id=61588469053416
#KoreanEssence #WrapAndLab #YoungShot #MilkyEssence #Niacinamide #PDRN #GlassSkin #SoothingSkincare #KBeauty #KoreanSkincare #AcneCare #SensitiveSkin #RejuRefining #AuraKBeauty #SkincareLK #KoreanProductsLK #fyp #fypシ #viral #CicaSkincare #CentellaAsiatica,#KoreanEssence #WrapAndLab #YoungShot #MilkyEssence #Niacinamide #PDRN #GlassSkin #SoothingSkincare #KBeauty #KoreanSkincare #AcneCare #SensitiveSkin #RejuRefining #AuraKBeauty #SkincareLK #KoreanProductsLK #fyp #fypシ #viral #CicaSkincare #CentellaAsiatica,4.0,3.0,1.0,medium,https://www.facebook.com/reel/3040422532821706/
